"cbsa10","state","county","tract","zcta5","ur","ua","puma12","metdiv10","stab","cntyname","cbsaname10","mdivname10","zipname","PUMAname","uaname","pop10","afact"
"cbsa10","FIPS state","county","2010 Tract","ZIP Census Tabulation Area","Urban/Rural","ua","puma12","metdiv10","State Postal Code","cntyname","2010 CBSA Name","2010 Metro Div Name","zipname","PUMA12 Name","UA/Urban Cluster Name","Total Pop, 2010 census","cbsa10 to metdiv10 alloc factor"
"19020","51","51047","9301.01","22701","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission"," ",2489,0.053 
"19020","51","51047","9301.01","22701","U","21691","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission","Culpeper, VA Urban Cluster",684,0.015 
"19020","51","51047","9301.01","22737","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Rixeyville, VA","Rappahannock-Rapidan Regional Commission"," ",870,0.019 
"19020","51","51047","9301.02","20106","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Amissville, VA","Rappahannock-Rapidan Regional Commission"," ",3158,0.068 
"19020","51","51047","9301.02","20186","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Warrenton, VA","Rappahannock-Rapidan Regional Commission"," ",14,0 
"19020","51","51047","9301.02","22701","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission"," ",782,0.017 
"19020","51","51047","9301.02","22714","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Brandy Station, VA","Rappahannock-Rapidan Regional Commission"," ",355,0.008 
"19020","51","51047","9301.02","22724","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Jeffersonton, VA","Rappahannock-Rapidan Regional Commission"," ",2282,0.049 
"19020","51","51047","9301.02","22734","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Remington, VA","Rappahannock-Rapidan Regional Commission"," ",62,0.001 
"19020","51","51047","9301.02","22737","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Rixeyville, VA","Rappahannock-Rapidan Regional Commission"," ",1648,0.035 
"19020","51","51047","9302.01","22701","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission"," ",952,0.02 
"19020","51","51047","9302.01","22701","U","21691","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission","Culpeper, VA Urban Cluster",6222,0.133 
"19020","51","51047","9302.02","22701","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission"," ",2890,0.062 
"19020","51","51047","9302.02","22713","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Boston, VA","Rappahannock-Rapidan Regional Commission"," ",1100,0.024 
"19020","51","51047","9302.02","22735","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Reva, VA","Rappahannock-Rapidan Regional Commission"," ",1357,0.029 
"19020","51","51047","9302.02","22737","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Rixeyville, VA","Rappahannock-Rapidan Regional Commission"," ",418,0.009 
"19020","51","51047","9302.02","22740","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Sperryville, VA","Rappahannock-Rapidan Regional Commission"," ",55,0.001 
"19020","51","51047","9303.00","22701","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission"," ",798,0.017 
"19020","51","51047","9303.00","22701","U","21691","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission","Culpeper, VA Urban Cluster",5734,0.123 
"19020","51","51047","9304.00","22701","R"," ","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission"," ",958,0.021 
"19020","51","51047","9304.00","22701","U","21691","51087","99999","VA","Culpeper VA","Culpeper, VA Micropolitan Statistical Area","99999","Culpeper, VA","Rappahannock-Rapidan Regional Commission","Culpeper, VA Urban Cluster",723,0.015 
